UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),POSTED_BY_0,POSTED_BY_1,POSTED_BY_Builder,BHK_OR_RK_0,BHK_OR_RK_1
0,0,3,1394,1,1,24,78,100,0,1,0,1,0
1,0,2,800,0,1,12,77,27,0,1,0,1,0
1,1,3,1505,0,1,30,76,62,0,1,0,1,0
0,0,3,1067,1,1,25,71,33,1,0,0,1,0
0,0,3,1400,1,1,12,77,94,1,0,0,1,0
0,0,1,728,1,1,26,75,27,0,1,0,1,0
0,1,3,1293,1,0,26,75,37,0,1,0,1,0
1,1,3,106469,0,0,24,78,9480,0,0,1,1,0
0,0,3,2939,1,1,28,77,390,0,1,0,1,0
0,1,2,1431,1,1,30,76,65,0,1,0,1,0
0,0,3,1350,1,1,12,77,85,1,0,0,1,0
0,0,1,750,1,1,21,72,23,1,0,0,1,0
0,1,3,1170,1,1,24,78,99,0,1,0,1,0
0,0,2,1121,1,1,24,78,45,1,0,0,1,0
0,0,4,1904,1,1,30,76,100,0,1,0,1,0
0,0,4,7054,1,1,28,76,460,0,1,0,1,0
0,0,2,950,1,1,19,72,150,0,1,0,1,0
0,0,2,969,1,1,12,77,40,1,0,0,1,0
0,0,1,636,1,1,19,73,52,0,1,0,1,0
0,0,4,4578,1,1,12,77,340,0,1,0,1,0
0,0,1,700,1,1,18,73,27,1,0,0,1,0
0,0,3,1859,1,1,19,72,230,0,1,0,1,0
0,0,3,1700,1,1,31,77,82,1,0,0,1,0
0,0,3,1847,1,0,28,76,110,0,1,0,1,0
0,1,1,509,1,0,18,73,40,0,1,0,1,0
0,0,3,1427,1,1,22,88,160,0,1,0,1,0
0,0,2,715,1,1,26,75,20,1,0,0,1,0
0,0,3,1393,1,1,19,72,85,1,0,0,1,0
0,0,2,900,1,1,30,76,22,1,0,0,1,0
0,0,2,1000,1,1,19,72,120,0,1,0,1,0
0,0,2,800,1,1,26,78,35,1,0,0,1,0
1,0,1,445,0,1,20,72,54,0,1,0,1,0
0,0,2,1125,1,1,12,77,56,1,0,0,1,0
0,0,2,1015,1,1,19,72,90,0,1,0,1,0
0,1,2,1200,1,1,23,77,23,1,0,0,1,0
0,1,1,1060,1,1,13,77,49,0,1,0,1,0
0,0,3,1654,1,1,9,76,70,1,0,0,1,0
0,0,3,1175,1,1,22,88,41,0,1,0,1,0
0,0,1,412,1,1,20,72,8,1,0,0,1,0
0,0,3,1877,1,1,22,73,53,0,1,0,1,0
1,0,2,1150,0,1,50,4,38,0,1,0,1,0
0,0,2,910,1,1,22,70,43,1,0,0,1,0
1,1,2,1080,0,0,13,77,32,0,0,1,1,0
0,1,3,1902,1,1,12,77,170,0,1,0,1,0
0,0,1,850,1,1,22,75,12,1,0,0,1,0
1,1,2,1051,0,1,19,72,110,0,1,0,1,0
0,1,2,945,1,1,24,78,91,0,1,0,1,0
1,0,2,570,0,1,23,77,22,1,0,0,1,0
0,0,2,1050,1,1,19,73,82,0,1,0,1,0
0,1,2,1785,1,1,19,72,390,0,1,0,1,0
0,0,2,800,1,1,22,88,35,1,0,0,1,0
0,0,2,750,1,1,12,77,34,1,0,0,1,0
0,0,2,1129,1,1,28,77,91,0,1,0,1,0
1,1,4,2857,0,0,22,75,120,0,0,1,1,0
0,0,2,896,1,1,30,76,28,0,1,0,1,0
0,0,2,900,1,1,16,77,31,1,0,0,1,0
0,0,3,1870,1,1,28,77,75,1,0,0,1,0
0,0,2,1288,1,1,13,77,78,1,0,0,1,0
1,1,4,2461,0,1,26,75,160,0,1,0,1,0
0,0,2,1066,1,1,22,73,22,0,1,0,1,0
0,0,4,4299,1,1,19,72,1200,0,1,0,1,0
1,1,2,816,0,0,19,72,370,0,1,0,1,0
0,0,2,1261,1,1,28,77,31,0,1,0,1,0
0,0,2,1160,1,1,13,77,45,1,0,0,1,0
1,1,2,828,0,1,12,77,100,0,1,0,1,0
0,1,3,2015,1,1,13,77,110,1,0,0,1,0
0,0,3,2765,1,1,26,75,67,0,1,0,1,0
0,0,2,790,1,1,12,77,26,0,1,0,1,0
0,0,3,1358,1,0,13,80,110,0,0,1,1,0
0,0,1,850,1,1,21,72,24,1,0,0,1,0
0,0,2,1115,1,1,18,73,100,0,1,0,1,0
0,0,1,406,1,1,20,80,110,0,1,0,1,0
0,0,2,1080,1,1,22,88,70,0,1,0,1,0
0,1,4,3621,1,1,12,77,470,0,1,0,1,0
1,1,6,10050,0,1,28,77,1200,0,1,0,1,0
0,0,3,1150,1,1,19,72,250,0,1,0,1,0
0,1,3,2489,1,1,12,77,94,1,0,0,1,0
1,0,3,1894,0,1,25,81,53,0,1,0,1,0
0,0,4,4000,1,1,28,77,140,0,1,0,1,0
0,1,2,1269,1,1,22,75,40,0,1,0,1,0
0,1,4,3458,1,1,28,77,260,1,0,0,1,0
0,1,2,835,1,0,29,75,25,0,0,1,1,0
0,0,2,1185,1,1,22,88,90,1,0,0,1,0
0,0,3,1289,1,1,13,77,74,0,1,0,1,0
0,0,3,2100,1,1,11,79,210,0,1,0,1,0
0,0,4,3167,1,1,21,72,150,0,1,0,1,0
0,0,4,433333,1,1,9,76,65,1,0,0,1,0
0,0,2,845,1,1,12,80,38,0,0,1,1,0
0,0,1,850,1,1,21,77,27,0,1,0,1,0
1,1,2,923,0,1,24,78,85,0,1,0,1,0
0,0,3,1490,1,1,16,80,60,1,0,0,1,0
0,0,3,1480,1,1,26,85,60,1,0,0,1,0
0,0,3,1510,1,1,12,77,110,1,0,0,1,0
1,1,1,453,0,1,24,78,66,0,1,0,1,0
0,0,2,999,1,0,22,73,25,0,1,0,1,0
0,0,2,1000,1,1,21,79,30,1,0,0,1,0
0,0,3,1350,1,1,12,77,60,1,0,0,1,0
0,0,3,1231,1,1,12,77,46,0,1,0,1,0
1,1,2,829,0,0,13,80,36,0,1,0,1,0
0,0,2,1069,1,1,28,77,32,0,1,0,1,0
0,0,1,610,1,1,19,72,96,0,1,0,1,0
0,0,4,2030,1,1,30,76,82,0,1,0,1,0
0,0,2,978,1,1,28,77,29,0,1,0,1,0
1,1,3,1503,0,1,26,75,46,0,1,0,1,0
1,1,2,804,0,1,12,77,45,0,1,0,1,0
0,0,3,1400,1,1,20,85,54,1,0,0,1,0
0,1,2,1251,1,1,21,72,43,0,1,0,1,0
0,0,3,1850,1,1,28,76,48,0,1,0,1,0
0,0,2,711,1,1,12,77,27,1,0,0,1,0
0,0,1,540,1,1,28,77,24,1,0,0,1,0
0,0,2,748,1,1,22,88,18,0,1,0,1,0
0,0,2,1166,1,1,12,77,96,0,1,0,1,0
0,0,2,943,1,1,19,72,210,0,1,0,1,0
0,0,3,1700,1,1,22,88,190,0,1,0,1,0
0,0,4,2175,1,1,26,75,110,0,1,0,1,0
1,0,3,2181,0,1,12,77,240,1,0,0,1,0
0,0,3,1700,1,1,27,80,95,1,0,0,1,0
0,0,2,1080,1,1,26,91,35,1,0,0,1,0
0,0,3,1276,1,1,13,77,58,1,0,0,1,0
0,1,3,2735,1,1,12,77,350,0,1,0,1,0
0,1,2,988,1,1,19,72,190,0,1,0,1,0
0,0,3,935,1,1,22,88,35,0,1,0,1,0
0,0,1,550,1,1,19,73,53,0,1,0,1,0
1,1,2,1094,0,1,30,76,51,0,1,0,1,0
0,0,5,6397,1,1,28,77,360,0,1,0,1,0
0,1,2,1150,1,1,27,75,78,0,1,0,1,0
0,0,2,936,1,1,10,76,45,1,0,0,1,0
0,1,2,1150,1,1,18,73,76,0,1,0,1,0
1,1,4,3810,0,1,13,77,320,0,1,0,1,0
1,0,2,1173,0,1,10,77,84,1,0,0,1,0
0,0,4,2541,1,0,12,80,160,0,1,0,1,0
0,0,2,950,1,1,28,77,49,0,1,0,1,0
0,0,2,1045,1,1,12,77,63,1,0,0,1,0
0,0,3,1969,1,1,18,73,100,0,1,0,1,0
0,0,2,930,1,1,20,74,52,0,1,0,1,0
0,0,2,1071,1,1,19,73,55,0,1,0,1,0
1,1,3,1400,0,1,30,76,67,0,1,0,1,0
0,0,2,1176,1,0,30,75,200,0,1,0,1,0
0,0,4,1925,1,1,30,76,130,0,1,0,1,0
0,0,2,1053,1,1,23,72,30,1,0,0,1,0
0,0,2,1051,1,1,12,77,45,1,0,0,1,0
1,1,2,988,0,1,18,73,66,0,1,0,1,0
0,0,2,1300,1,1,11,76,38,0,1,0,1,0
1,1,2,850,0,1,24,78,150,0,1,0,1,0
0,0,2,948,1,1,28,77,31,1,0,0,1,0
0,0,3,1760,1,1,9,76,85,1,0,0,1,0
0,0,2,850,1,1,28,76,27,1,0,0,1,0
0,1,1,654,1,1,19,73,50,0,1,0,1,0
0,0,2,1050,1,1,19,72,110,0,1,0,1,0
0,0,3,1267,1,1,31,75,65,1,0,0,1,0
0,0,3,1150,1,1,26,75,40,0,1,0,1,0
1,1,3,844,0,1,28,77,26,0,1,0,1,0
0,1,2,1075,1,1,28,77,100,0,1,0,1,0
0,0,2,1016,1,1,19,72,150,0,1,0,1,0
1,1,3,900,0,0,19,72,170,0,1,0,1,0
0,1,3,2058,1,1,28,77,170,0,1,0,1,0
1,1,4,6000,0,1,28,77,750,0,1,0,1,0
0,0,2,950,1,1,10,76,36,0,1,0,1,0
0,0,3,2015,1,1,12,77,280,1,0,0,1,0
0,0,2,749,1,1,21,72,12,1,0,0,1,0
0,1,4,3045,1,1,28,76,160,0,1,0,1,0
0,1,2,1303,1,1,19,72,230,0,1,0,1,0
0,1,2,936,1,1,24,78,97,0,1,0,1,0
0,0,2,1100,1,1,26,75,20,0,1,0,1,0
0,0,2,704,1,1,13,80,31,0,1,0,1,0
0,0,3,2000,1,1,9,76,130,0,1,0,1,0
1,1,3,1678,0,1,28,77,63,0,1,0,1,0
0,1,1,411,1,0,18,73,48,0,1,0,1,0
0,1,2,950,1,1,28,77,50,1,0,0,1,0
0,0,5,4787,1,1,13,77,480,0,1,0,1,0
0,0,1,630,1,1,18,76,13,1,0,0,1,0
0,0,3,1823,1,1,18,73,160,0,1,0,1,0
0,0,3,2250,1,1,30,76,65,1,0,0,1,0
0,0,3,1399,1,1,18,73,190,1,0,0,1,0
0,0,3,1635,1,1,12,77,100,1,0,0,1,0
0,1,3,1896,1,1,28,76,110,0,1,0,1,0
0,1,3,1600,1,1,19,72,250,0,1,0,1,0
0,0,3,1447,1,1,22,88,85,0,1,0,1,0
0,0,3,1640,1,1,12,77,70,1,0,0,1,0
1,1,2,1110,0,1,24,78,70,0,1,0,1,0
0,1,4,3333,1,1,28,77,250,0,1,0,1,0
0,1,3,2708,1,1,12,77,300,0,1,0,1,0
0,1,1,410,1,1,26,81,16,1,0,0,1,0
0,0,3,1512,1,1,20,73,100,0,1,0,1,0
0,0,2,912,1,1,19,72,120,0,1,0,1,0
0,0,2,795,1,1,21,79,25,0,1,0,1,0
1,1,1,443,0,0,18,73,29,0,0,1,1,0
0,0,3,1350,1,1,12,77,44,0,1,0,1,0
0,0,4,4000,1,1,12,77,400,0,1,0,1,0
0,0,3,4769,1,1,21,79,310,0,1,0,1,0
0,0,3,1897,1,1,12,77,99,1,0,0,1,0
